id,match_won,opp_win_percentage,toss_won,home,match_type,fifty_plus_t1,fifty_plus_partnerships_t1,fours_t1,sixes_t1,extras_t1,pp_wickets_t1,wickets_t1,balls_first_50_t1,dots_t1,run_rate_t1,highest_ind_t1,highest_ind_sr_t1,X2nd_highest_score_t1,highest_wickets_t1,worst_bowler_runs_t1,spinners_t1,pacers_t1,fifty_plus_t2,fifty_plus_partnerships_t2,fours_t2,sixes_t2,extras_t2,pp_wickets_t2,wickets_t2,balls_first_50_t2,dots_t2,run_rate_t2,highest_ind_t2,highest_ind_sr_t2,X2nd_highest_score_t2,highest_wickets_t2,worst_bowler_runs_t2,spinners_t2,pacers_t2
829759,1,0.5179,0,0,1,1,0,17,3,1,2,6,31,42,7.5,58,141.46,30,3,34,1,4,0,0,7,2,7,2,9,49,41,6.5,42,127.27,22,2,39,2,4
829785,1,0.5043,0,1,1,1,2,14,18,11,0,3,24,38,11.3,117,205.26,47,4,27,1,4,0,0,8,3,9,5,10,53,44,6.43,40,190.47,13,2,50,3,3
829761,1,0.4211,1,1,1,0,0,16,6,12,1,7,36,45,8.55,42,175,32,4,32,4,2,0,1,14,7,7,0,6,47,46,7.9,40,114.28,25,2,46,4,3
829791,0,0.5175,1,0,0,0,1,11,11,9,1,5,44,40,9.15,43,195.45,39,2,56,3,3,1,1,20,8,7,1,9,29,40,9.27,51,242.85,29,4,50,4,2
829793,1,0.4174,1,0,1,1,1,9,6,4,2,4,45,39,8.15,74,160.86,22,2,39,2,5,2,1,19,4,4,1,4,38,48,7.85,63,185.29,50,2,35,3,3
829815,0,0.5691,1,1,1,0,0,8,1,6,3,10,54,49,5.65,25,104.16,19,1,38,1,4,1,1,13,3,8,0,1,43,32,8.24,51,137.83,48,3,21,2,5
829823,1,0.6077,0,2,1,2,2,16,12,6,1,5,31,40,10.1,68,151.11,50,3,39,1,4,1,1,16,6,7,1,8,48,50,8.05,57,118.75,28,2,41,3,4
980903,0,0.5128,0,0,1,0,0,8,3,12,4,10,49,66,5.54,17,170,15,1,32,1,4,0,1,15,0,11,0,1,44,42,6.98,38,92.68,35,3,24,2,4
980909,0,0.5748,0,1,1,2,1,11,8,10,1,5,41,29,9.35,64,123.07,52,1,52,3,2,1,2,17,8,10,1,4,29,38,9.8,84,155.55,41,2,43,2,4
980921,0,0.4202,0,1,1,2,2,19,7,9,1,5,30,30,9.55,79,164.58,55,2,49,2,4,2,1,22,4,14,2,3,29,32,10.01,108,211.76,54,2,50,2,4
980925,0,0.5167,0,1,1,1,0,10,2,7,1,8,53,43,6.9,56,136.58,26,2,32,3,3,1,1,18,0,8,0,4,28,30,8.21,53,189.28,34,2,28,4,3
980933,1,0.5725,0,1,0,1,1,12,5,12,1,4,43,33,8.2,60,125,49,2,30,3,3,1,1,15,4,3,1,7,34,40,7.7,65,135.41,36,2,42,2,5
980949,0,0.8333,0,1,1,2,2,15,7,7,1,3,38,27,9.75,101,187.03,53,2,41,2,4,1,2,22,3,7,0,7,25,30,9.8,63,170.27,43,1,40,2,4
980959,0,0.5161,0,1,1,2,1,18,7,4,1,7,40,37,9.25,52,162.5,52,2,51,2,4,1,1,13,9,19,2,5,41,34,9.86,60,206.89,39,2,56,2,3
980965,0,0.25,0,1,1,0,0,11,6,8,2,7,38,38,8.1,34,106.25,32,2,50,5,2,1,1,11,6,11,0,3,36,30,8.66,63,131.25,30,2,34,2,4
980967,0,0.5192,0,0,1,1,0,8,3,5,3,6,58,49,6.3,51,121.42,20,2,28,2,4,0,0,13,2,6,2,5,51,49,6.78,47,117.5,24,2,28,1,5
